Time(ms),Roll,Pitch,Yaw,M1,M2,M3,M4,Speed(Bps),Volume(Bytes)
--- HET THONG FLIGHT CONTROLLER (STAGE 8) SAN SANG ---
Khoi dong He thong...
Dang Calibrate, vui long de im mach...
Calibrate XONG! San sang bay (0x02)
Time(ms),Roll,Pitch,Yaw,M1,M2,M3,M4,I2C_Speed(Bps),I2C_Volume(Bytes)
--- DONG CO DA MO GA (THROTTLE = 400) ---
8551,-0.00,-0.01,0.01,400,399,400,400,14,14
8754,-0.02,-0.09,0.01,400,399,399,400,14,1624
8959,0.06,-0.13,0.01,400,399,399,400,14,3248
9164,-0.00,-0.18,0.01,400,399,399,400,14,4872
9369,-0.02,-0.18,0.01,400,399,399,400,14,6496
9573,-0.01,-0.18,0.01,400,399,399,400,7924,8106
9778,0.00,-0.22,0.01,400,399,399,400,7924,9730
9983,0.00,-0.27,0.01,400,399,399,400,7924,11354
10187,-0.03,-0.25,0.01,400,399,399,400,7924,12964
10391,0.01,-0.22,0.01,400,399,399,400,7924,14574
10595,-0.02,-0.24,0.01,400,399,399,400,7910,16184
10800,0.00,-0.29,0.01,400,399,399,400,7910,17808
11004,-0.01,-0.29,0.01,400,399,399,400,7910,19418
11208,0.01,-0.28,0.00,400,399,399,400,7910,21028
11413,-0.00,-0.26,-0.00,400,399,399,400,7910,22652
11617,0.00,-0.27,-0.00,400,399,399,400,7896,24262
11821,0.04,-0.29,0.00,400,399,399,400,7896,25872
12025,-0.01,-0.28,0.00,400,399,399,400,7896,27482
12230,-0.05,-0.26,0.01,400,399,399,400,7896,29106
12434,0.01,-0.27,0.00,400,399,399,400,7896,30716
12638,-0.02,-0.28,0.00,400,399,399,400,7896,32326
12842,0.01,-0.28,0.00,400,399,399,400,7896,33936
13047,0.02,-0.34,-0.00,400,399,399,400,7896,35560
13251,0.00,-0.25,-0.00,400,399,399,400,7896,37170
13455,-0.01,-0.27,-0.00,400,399,399,400,7896,38780
13659,0.02,-0.30,-0.01,400,399,399,400,7896,40390
13864,-0.01,-0.28,-0.00,400,399,399,400,7896,42014
14068,0.02,-0.29,-0.00,400,399,399,400,7896,43624
14272,0.05,-0.30,-0.01,400,399,399,400,7896,45234
14477,0.02,-0.30,-0.01,400,399,399,400,7896,46858
14681,-0.02,-0.34,-0.01,400,399,399,400,7910,48468
14885,0.02,-0.33,-0.01,400,399,399,400,7910,50078
15090,0.01,-0.28,-0.01,400,399,399,400,7910,51702
15294,-0.00,-0.29,-0.01,400,399,399,400,7910,53312
15498,0.01,-0.31,-0.01,400,399,399,400,7910,54922
15702,0.03,-0.28,-0.01,400,399,399,400,7896,56532
15906,0.02,-0.30,-0.02,400,399,399,400,7896,58142
16111,0.04,-0.32,-0.02,400,399,399,400,7896,59766
16315,0.00,-0.34,-0.02,400,399,399,400,7896,61376
16520,0.02,-0.28,-0.03,400,399,399,400,7896,63000
16724,0.01,-0.28,-0.03,400,399,399,400,7896,64610
16928,0.01,-0.32,-0.03,400,399,399,400,7896,66220
17132,-0.02,-0.34,-0.03,400,399,399,400,7896,67830
17337,-0.01,-0.31,-0.03,400,399,399,400,7896,69454
17541,-0.03,-0.35,-0.03,400,399,399,400,7896,71064
17745,0.00,-0.27,-0.04,400,399,399,400,7896,72674
